Source,Folder,Filename,Extension,Dataset Name,Filetype,Internal Layer Name,Static,Resolution,Units
Local,input/Data/Original,LandSeaMask,.nc,land_sea_mask,nc,LandSeaMask,Y,year,
Local,input/Data/Original/Land,AvailableWaterCapacity,.nc,AWC,nc,AWC,Y,year,mm
Local,input/Data/Original/Land,hanpp_2005,.nc,HANPP,nc,HANPP,Y,year,gC/m2/year
Local,input/Data/Original/Land,NPP,.nc,NPP,nc,LandNPP,Y,month,gC/m2/day
Local,input/Data/Original/Ocean,OceanNPP,.nc,NPP,nc,OceanNPP,Y,month,gC/m2/day
Local,input/Data/Original/Ocean,KennedyetalDTR_monthly_climatology,.nc,DTR,nc,OceanDTR,Y,month,degC
Local,input/Data/Original/Ocean,averaged_u_50y_top100m_monthly,.nc,uVel,nc,uVel,Y,month,cm/s
Local,input/Data/Original/Ocean,averaged_v_50y_top100m_monthly,.nc,vVel,nc,vVel,Y,month,cm/s
Local,input/Data/Original/Ocean,averaged_SST_50y_top100m_monthly,.nc,SST,nc,SST,Y,month,degC
Local,C:/Users/mikeha/Work/Spatial data/climate/Historic,HistoricClimate1901-2015x2_1dd,.nc,Temperature,nc,Temperature,N,month,degC
Local,C:/Users/mikeha/Work/Spatial data/climate/Historic,HistoricClimate1901-2015x2_1dd,.nc,DTR,nc,LandDTR,N,month,degC
Local,C:/Users/mikeha/Work/Spatial data/climate/Historic,HistoricClimate1901-2015x2_1dd,.nc,Precipitation,nc,Precipitation,N,month,mm
Local,C:/Users/mikeha/Work/Spatial data/climate/Historic,HistoricClimate1901-2015x2_1dd,.nc,frs,nc,FrostDays,N,month,
Local,input/Data/New/Land,H_max,.nc,H_max,nc,Max_Size_10,Y,year,n/a
Local,input/Data/New/Land,C_max,.nc,C_max,nc,Max_Size_11,Y,year,n/a
Local,input/Data/New/Land,O_max,.nc,O_max,nc,Max_Size_12,Y,year,n/a
Local,C:/Users/mikeha/Work/Spatial data/HANPP,HYDE32_HANPP_1901-2015,.nc,HANPPharvest,nc,HANPPharvest,N,multi-year,gC/m2/day
Local,C:/Users/mikeha/Work/Spatial data/HANPP,HYDE32_HANPP_1901-2015,.nc,HANPPluc,nc,HANPPlc,N,multi-year,gC/m2/day
Local,C:/Users/mikeha/Work/Spatial data/Harmonised land use 2,FractionalLandUse1901-2015,.nc,Furban,nc,Furban,N,multi-year,gC/m2/day
Local,C:/Users/mikeha/Work/Spatial data/Harmonised land use 2,FractionalLandUse1901-2015,.nc,Fcropland,nc,Fcropland,N,multi-year,gC/m2/day
Local,C:/Users/mikeha/Work/Spatial data/Harmonised land use 2,FractionalLandUse1901-2015,.nc,Fgrazing,nc,Fgrazing,N,multi-year,gC/m2/day
Local,C:/Users/mikeha/Work/Spatial data/Harmonised land use 2,FractionalLandUse1901-2015,.nc,Fforest,nc,Fforest,N,multi-year,gC/m2/day
Local,C:/Users/mikeha/Work/Spatial data/Harmonised land use 2,FractionalLandUse1901-2015,.nc,Fnatural,nc,Fnatural,N,multi-year,gC/m2/day
Local,C:/Users/mikeha/Work/Spatial data/Harmonised land use 2,FractionalLandUse1901-2015,.nc,Fsecondary,nc,Fsecondary,N,multi-year,gC/m2/day
Local,C:/Users/mikeha/Work/Spatial data/Harmonised land use 2,FractionalLandUseTransitions1901-2015,.nc,Primary losses,nc,Primary loss,N,multi-year,gC/m2/day
Local,C:/Users/mikeha/Work/Spatial data/Harmonised land use 2,FractionalLandUseTransitions1901-2015,.nc,Secondary losses,nc,Secondary loss,N,multi-year,gC/m2/day
Local,C:/Users/mikeha/Work/Spatial data/Harmonised land use 2,FractionalLandUseTransitions1901-2015,.nc,Secondary gains,nc,Secondary gain,N,multi-year,gC/m2/day
